LotArea,OverallQual,YearBuilt,FullBath,BedroomAbvGr,SalePrice
6060,4,1939,1,3,100000
9464,6,1958,1,3,136000
7892,6,1993,2,2,153900
17043,6,1979,2,3,181000
6780,6,1935,1,2,84500
4928,6,1976,2,2,128000
4388,5,1930,1,3,87000
7590,6,1966,1,3,155000
8973,5,1958,1,3,150000
14200,7,1966,2,4,226000
12224,6,2000,2,3,244000
7388,5,1959,1,3,150750
6853,8,2001,2,2,220000
10335,5,1968,2,3,180000
10400,7,1970,2,3,174000
10355,5,1967,2,3,143000
11070,7,1988,3,5,171000
9066,8,1999,2,3,230000
15426,6,1997,2,3,231500
10500,4,1971,1,3,115000
11645,7,2005,2,3,260000
8520,5,1952,2,4,166000
10335,7,1999,2,3,204000
9100,5,1963,2,6,125000
2522,6,2004,2,3,130000
6120,5,1931,1,2,105000
9505,7,2001,2,3,222500
7500,7,2004,1,3,141000
6240,5,1936,1,3,115000
10356,5,1975,1,3,122000
13891,8,2007,2,2,372402
14803,6,1971,2,4,190000
13500,6,1960,1,1,235000
11340,6,1923,1,4,125000
9600,6,1924,1,2,79000
7200,5,1950,1,2,109500
12003,8,2009,2,4,269500
12552,7,2004,2,3,254900
19378,7,2005,2,4,320000
11120,6,1984,2,3,162500
13688,9,2003,2,3,412500
12182,7,2005,2,3,220000
5500,4,1956,1,1,103200
5400,6,1926,2,3,152000
10106,5,1940,2,4,127500
10708,5,1955,1,2,190000
10562,8,2007,1,3,325624
8244,7,2004,2,3,183500
16669,8,1981,2,2,228000
12358,5,1941,1,2,128500
31770,6,1960,1,3,215000
5306,7,1987,2,2,239000
10197,6,1961,1,3,163000
12416,6,1986,2,3,184000
12615,6,1950,2,4,243000
10029,6,1988,2,4,211000
13650,5,1958,2,4,172500
17423,9,2008,2,1,501837
8520,5,1923,1,2,100000
2117,6,2000,2,3,177000
7588,7,1920,1,4,200100
9060,5,1957,1,3,120000
11426,7,2003,2,3,200000
7438,5,1908,1,3,127000
22950,10,1892,2,4,475000
9947,7,1990,2,3,173000
10410,5,1916,2,3,135000
7018,5,1979,0,2,153337
4923,8,2001,1,0,286000
10570,8,1932,2,3,315000
7472,7,1972,1,4,184000
9017,7,1999,2,3,192000
2522,7,2004,2,3,130000
7180,5,1972,1,3,127000
2280,6,1976,2,3,148500
9416,7,2007,2,3,311872
25419,8,1918,2,4,235000
5520,6,1912,1,5,104000
9591,8,2004,2,3,274900
8546,4,2003,2,2,140000
10125,6,1977,2,3,171500
7000,6,1924,2,2,112000
4438,6,2004,1,1,149000
3500,5,1947,1,2,110000
11851,7,1990,2,3,180500
13673,5,1962,1,3,143900
12493,4,1960,1,3,141000
14364,7,1988,2,3,277000
8250,6,1964,1,3,145000
5604,5,1925,1,2,98000
10420,6,2009,2,3,186000
8640,7,2009,2,3,252678
13568,5,1995,1,3,156000
10900,6,1977,1,3,161750
10011,5,1957,1,2,134450
8450,7,2004,2,3,210000
9906,4,1925,1,3,107000
15660,7,1939,1,3,311500
3010,7,2005,2,2,167240
8990,7,2006,2,2,204900
8068,6,2002,2,4,200000
11475,6,1975,2,3,179900
10500,4,1971,1,2,97000
13472,10,2003,2,3,386250
1680,5,1971,2,3,112000
9950,7,1995,2,4,290000
1869,6,1970,1,2,106000
8521,5,1967,1,3,125000
3182,7,2005,2,2,192500
8760,6,1959,1,3,148000
15138,8,1995,2,4,403000
1680,6,1972,1,2,94500
10650,5,1976,1,3,128200
7851,6,2002,2,4,216500
1680,6,1971,1,2,89500
8773,7,2004,2,3,185500
9453,7,1993,2,3,194500
12030,8,2007,2,3,318000
8741,6,1945,1,3,113000
9000,8,2008,2,3,262500
3880,5,1945,1,2,110500
5000,5,1900,1,3,79000
10762,6,1980,1,3,120000
8880,7,1994,2,3,205000
10400,7,1988,2,3,241500
9142,6,1910,2,4,137000
11310,6,1954,1,2,140000
11317,7,2003,2,3,180000
159000,6,1958,2,4,277000
5350,3,1940,1,3,76500
4750,8,2006,2,2,235000
8366,6,2004,2,3,173000
9350,6,1964,2,3,158000
8400,5,1957,1,3,145000
8738,7,1999,2,4,230000
8791,6,2003,2,3,207500
8814,7,2006,2,3,220000
12435,7,2001,2,3,231500
12702,5,1956,1,2,97000
19296,6,1962,1,3,176000
9588,8,2007,2,3,276000
8471,6,1977,1,3,151000
5500,5,1929,1,3,130000
5232,5,1925,1,2,73000
12090,6,1981,2,3,175500
11207,6,1997,2,3,185000
8400,5,1939,2,4,179500
6900,5,1940,1,2,120500
7917,6,1976,1,3,148000
10728,8,2006,2,3,266000
39104,7,1954,1,2,241500
11764,8,1999,2,4,290000
9600,6,1958,2,3,139000
8314,5,1982,1,2,124500
7264,7,1925,2,3,205000
9196,7,2003,2,3,201000
19138,4,1951,1,2,141000
14450,9,2006,2,3,415298
10005,7,1977,2,4,192000
11287,7,1989,2,3,228500
7200,6,2006,2,2,185000
5063,7,2007,2,2,207500
9612,8,2008,2,3,244600
8012,6,1992,2,2,179200
4251,7,2006,2,2,164700
9786,6,1962,1,3,159000
8125,4,1971,1,3,88000
9819,5,1967,1,3,122000
8730,6,1915,1,3,153575
15611,8,2006,2,3,233230
5687,5,1912,2,6,135900
11409,5,1949,1,3,131000
16659,7,1977,2,3,235000
9600,6,1953,1,3,167000
7937,6,1984,1,3,142500
13710,5,1950,1,4,152000
7399,7,1997,2,3,239000
11700,6,1968,1,3,175000
14000,6,1950,1,3,158500
15750,5,1953,1,2,157000
16226,8,1998,2,4,267000
13704,7,2001,2,3,205000
9800,5,1972,1,3,149900
18386,7,1880,3,3,295000
10386,8,2004,2,3,305900
13474,7,1990,2,4,225000
7920,6,1920,1,3,89500
12342,4,1940,1,1,82500
12378,9,2003,2,3,360000
7685,6,1993,2,3,165600
8000,6,1948,1,2,132000
7800,5,1939,1,3,119900
215245,7,1965,2,3,375000
9600,7,1925,1,3,178000
7795,7,2004,2,3,188500
13005,7,1980,2,4,260000
9000,8,2006,2,3,270000
9900,7,1993,2,4,260000
14115,7,1980,2,3,187500
16259,9,2006,3,4,342643
12099,8,2004,2,4,354000
10380,7,1986,2,4,301000
5820,3,1955,1,3,126175
11275,7,1967,2,5,242000
5000,5,1941,1,2,87000
10846,8,1993,1,1,324000
11600,6,1960,1,3,145250
11888,6,1916,2,5,214500
6402,5,1920,1,3,78000
10624,5,1964,2,6,119000
8176,5,1958,1,3,139000
10655,8,2003,2,3,284000
8198,7,2004,2,2,207000
9042,6,1998,2,3,192000
164660,5,1965,2,3,228950
14157,9,2005,2,3,377426
9135,7,2002,2,3,214000
14145,7,1984,2,3,202500
12400,6,1958,1,3,155000
14191,8,2002,2,4,202900
8400,4,1950,1,2,82000
8544,3,1949,2,2,87500
8849,9,2005,2,2,266000
2592,5,1976,1,3,85000
6435,6,1939,1,3,140200
12772,6,1960,1,2,151500
17600,6,1960,2,3,157500
2448,7,2003,2,2,154000
20431,9,2005,2,4,437154
7820,9,2007,2,2,318061
5271,7,1986,1,2,190000
9084,5,1941,1,3,95000
8520,6,1928,1,2,105900
8400,6,1940,1,2,140000
11249,6,1995,2,3,177500
9248,6,1992,2,3,173000
4224,5,1976,1,3,134000
6930,5,1958,1,3,130000
12011,8,1998,2,3,280000
7540,6,1978,1,2,156000
9144,5,1940,1,3,145000
7301,7,2003,3,4,198500
1680,6,1972,1,2,118000
18800,6,1976,2,3,190000
10690,5,1920,1,3,147000
9500,6,1963,1,3,159000
9150,6,1962,1,3,165000
7800,5,1954,1,2,132000
9830,5,1959,1,3,162000
8121,6,2000,2,3,172400
17120,4,1959,2,4,134432
7175,6,1984,1,2,125000
10634,5,1953,1,3,123000
8200,7,2003,2,4,219500
10020,1,1922,0,1,61000
8846,5,1996,1,2,148000
11143,8,2004,3,4,340000
11394,9,2010,1,1,394432
8123,6,2000,2,3,179000
5000,5,1924,2,3,127000
7200,7,2006,2,2,187750
9245,7,2006,2,3,213500
9000,6,1928,1,2,76000
53107,6,1992,2,3,240000
3182,8,2004,2,2,192000
8410,5,1910,1,5,81000
7200,6,1976,1,3,125000
9382,7,1999,2,3,191000
12474,10,2007,2,3,426000
8405,5,1900,1,4,119000
12209,6,2001,2,3,215000
8339,5,1959,1,3,106500
7446,4,1941,1,2,100000
10134,5,1940,1,2,109000
9571,5,1956,1,3,129000
7200,5,1972,1,2,123000
7590,5,1962,2,4,169500
8967,5,1920,1,2,67000
8125,7,2006,2,2,241000
14963,8,1996,1,1,245500
8767,7,2005,2,3,164990
10200,5,1940,1,2,108000
12090,8,1998,2,4,258000
10364,6,1995,2,3,168000
9991,4,1976,2,3,150000
10480,6,1936,1,3,115000
15576,6,1915,2,4,177000
14154,7,2006,2,3,280000
10800,8,2007,2,3,339750
9571,5,1958,1,3,60000
34650,5,1955,1,3,145000
4403,7,2009,2,2,222000
8960,5,1927,1,2,115000
11228,7,1993,2,3,228000
8899,7,2007,2,3,181134
7844,6,1978,1,3,149500
22420,6,1918,2,4,239000
8160,5,1940,1,3,126000
8450,5,1968,1,3,142000
7060,7,1997,2,2,206300
16635,6,1977,2,3,215000
21750,5,1954,1,2,113000
9200,8,1998,2,4,315000
9000,6,1956,1,2,139000
3378,7,1946,1,3,135000
12800,7,1989,2,2,275000
8593,4,1957,1,3,109008
6762,7,2007,2,2,195400
11457,6,1988,2,3,175000
1680,6,1971,1,2,85400
5586,6,1920,1,4,79900
1920,5,1971,1,2,122500
10839,6,1997,2,3,181000
1890,4,1972,1,1,81000
10667,7,1996,2,3,212000
4400,6,1920,1,2,116000
6000,6,1926,1,2,119000
4280,5,1913,1,2,90350
12354,6,1920,1,3,110000
15431,10,2008,2,2,555000
12108,4,1955,2,4,118000
6240,5,1930,2,3,162900
3922,7,2006,2,2,172500
8750,7,1994,2,4,210000
9855,6,1956,1,3,127500
16492,6,1966,2,2,190000
11214,7,1998,2,4,199900
8600,6,1937,2,3,119500
6000,3,1948,1,2,120000
5684,6,1930,1,2,110000
70761,7,1975,2,2,280000
9303,6,1996,2,3,204000
9000,8,2008,2,3,210000
9297,5,1976,2,4,188000
9600,7,1973,1,3,175500
4571,5,1916,1,4,98000
53227,4,1954,1,2,256000
5100,8,1925,1,3,161000
7015,5,1950,1,3,110000
8004,8,2009,2,3,263435
7200,7,1936,1,3,155000
8281,5,1965,1,3,62383
11988,6,1934,1,3,188700
8430,5,1978,2,3,124000
3072,7,2004,2,2,178740
10628,7,1970,1,2,167000
9480,5,1942,1,3,146500
11428,8,2006,2,3,250000
9291,6,1993,2,3,187000
6820,8,1985,1,1,212000
11952,7,1977,2,3,190000
3675,6,2005,1,2,148000
14977,8,2006,2,2,440000
5330,8,2000,2,2,251000
8480,5,1963,1,2,132500
13125,6,1997,2,3,208900
13693,9,2006,2,3,380000
10637,8,2007,2,3,297000
5925,4,1937,1,2,89471
16033,9,2004,2,3,326000
11846,9,2003,2,2,374000
2500,7,1915,1,4,155000
4500,6,1998,2,2,164000
7758,5,1962,1,3,132500
9600,5,1950,1,3,147000
10289,5,1965,1,3,156000
12243,5,1971,2,3,175000
10800,5,1900,2,3,160000
1526,4,1970,1,1,86000
2665,5,1976,1,3,115000
9490,6,1941,1,3,133000
15578,6,2006,2,3,172785
7931,5,1960,1,3,155000
5784,5,1938,1,2,91300
7879,4,1920,1,2,34900
12692,8,1992,3,4,430000
9120,7,1925,2,4,184000
7800,5,1967,1,3,130000
7535,5,1958,1,2,120000
1890,6,1973,1,3,113000
9803,7,2005,2,3,226700
9170,5,1965,1,2,140000
15602,7,1959,2,1,289000
2308,6,1974,2,3,147000
7596,5,1952,2,4,124500
9554,8,1993,2,3,215000
7862,6,2009,2,2,208300
9600,7,1928,2,3,161000
9600,5,1959,1,3,124500
14559,5,1951,1,2,164900
6792,7,2005,2,2,202665
9100,5,1958,1,3,129900
9187,6,1983,1,3,134000
10594,5,1926,1,2,96500
12220,10,2009,2,3,402861
10448,6,1972,2,3,158000
10208,7,1996,2,3,265000
9531,6,1998,2,3,211000
10918,7,1926,1,3,234000
10800,4,1900,2,3,106250
11988,6,1957,1,3,150000
5000,6,1947,2,3,159000
40094,10,2007,3,3,184750
11787,7,1996,2,3,315750
7500,7,2005,2,3,176000
13300,5,1956,1,2,132000
14948,9,2008,2,3,446261
9098,4,1920,1,2,86000
32668,6,1957,3,4,200624
10200,6,1988,2,3,175000
6155,6,1920,2,3,128000
7200,5,1955,1,2,107500
5000,1,1946,1,1,39300
9056,8,2004,2,3,178000
7000,5,1910,1,3,107500
8924,7,1998,2,3,188000
12735,4,1972,1,3,111250
11553,5,1968,1,3,158000
11423,8,2001,2,3,272000
14601,9,2006,2,2,315000
11000,8,2000,2,4,248000
10140,7,1998,2,3,213250
4058,7,1998,1,1,133000
17104,7,2006,2,3,179665
13837,7,1988,2,4,229000
8737,6,1923,1,3,210000
7244,5,1970,1,2,129500
8235,5,1955,1,2,125000
9375,7,2003,2,4,263000
4043,6,1977,2,2,140000
6000,5,1957,1,3,112500
11146,8,2006,2,3,255500
8777,4,1949,2,2,108000
10625,7,2003,2,3,284000
6380,5,1922,1,2,113000
14850,5,1957,1,2,141000
11040,4,1920,1,3,108000
21872,7,1996,2,3,175000
3196,7,2003,2,2,234000
11341,5,1957,1,3,121500
10010,5,1974,1,2,170000
13907,5,1940,1,3,108000
21780,6,1918,2,4,185000
13346,7,1992,2,4,268000
6858,6,1915,1,4,128000
11198,9,2005,2,4,325000
10171,7,2004,2,3,214000
12327,8,1983,1,1,316600
7032,5,1979,1,2,135960
13101,5,1965,2,6,142600
7332,6,1959,1,2,120000
13159,7,2009,2,3,224500
9967,7,2000,2,3,170000
10500,5,1971,1,3,139000
8480,5,1947,1,2,118500
6292,7,1928,2,3,145000
11777,5,1966,1,3,164500
3604,7,2007,2,2,146000
12150,5,1954,2,4,131500
14585,6,1960,1,3,181900
12704,8,2008,2,3,253293
11841,6,1990,1,3,118500
13500,10,1893,3,3,325000
6120,4,1935,1,3,133000
11443,8,2005,2,2,369900
10267,6,1918,1,2,130000
8740,5,1982,1,2,137000
25095,5,1968,1,1,143000
9100,5,1930,1,2,79500
8320,7,2004,2,3,185900
13478,10,2008,2,3,451950
6600,5,1982,1,2,138000
4435,6,2003,1,1,140000
7990,5,1975,1,3,110000
11302,8,2005,2,3,319000
3600,6,1910,1,3,114504
3922,7,2006,0,2,194201
12984,5,1977,2,3,217500
1950,6,1980,2,3,151000
10927,8,2005,2,3,275000
9000,6,1937,1,3,141000
10041,8,1992,2,3,220000
3182,7,2004,2,2,151000
12803,7,2002,2,3,221000
13600,7,1965,2,3,205000
12464,5,1996,1,3,152000
7800,5,1948,3,3,225000
12168,8,1934,2,4,359100
7943,4,1961,1,3,118500
11050,9,2000,2,3,313000
10395,6,1978,2,3,148000
11885,8,2001,2,3,261500
8402,5,2007,1,3,147000
1491,4,1972,1,1,75500
8800,6,1963,1,3,137500
7861,6,2002,2,3,183200
7227,6,1954,1,2,105500
11694,9,2007,2,3,314813
12244,8,2003,2,4,305000
8248,3,1914,1,2,67000
10800,6,1974,2,4,240000
7064,5,1977,1,3,135000
2117,6,2000,2,2,168500
10400,6,1972,1,4,165150
10000,6,1962,1,3,160000
12342,5,1960,1,3,139900
9600,6,1955,1,3,153000
11606,5,1969,1,5,135000
9020,6,1964,1,3,168500
9000,5,1880,1,3,124000
4590,8,2006,2,2,209500
11900,7,1977,2,3,82500
9250,5,1954,1,3,139400
6979,6,1980,0,0,144000
10896,6,1914,2,8,200000
6120,2,1936,1,1,60000
6000,5,1954,2,3,93000
8777,5,1910,1,2,85000
3982,8,2006,2,1,264561
12677,8,2003,1,1,274000
7050,7,2001,2,3,226000
13860,8,1972,2,4,345000
10793,5,1969,2,4,152000
9187,9,2009,2,2,370878
10530,6,1971,1,3,143250
7200,5,1950,1,3,98300
10452,6,1953,1,3,155000
7700,6,1966,1,4,155000
1936,4,1970,1,1,84500
8125,7,2007,2,3,205950
9084,4,1940,1,4,108000
8750,7,1996,2,2,191000
10320,6,1906,1,3,135000
10437,8,1995,2,2,350000
1680,6,1971,1,3,88000
10007,5,1959,1,3,145500
7200,7,1931,1,3,149000
17503,6,1948,1,3,97500
9937,5,1964,1,3,167000
12384,7,1976,2,3,197900
46589,8,1994,2,4,402000
13560,6,1968,1,2,110000
10012,4,1972,2,3,137500
20896,8,2005,1,1,423000
11194,8,2000,2,3,230500
18450,6,1965,2,3,129000
8125,6,1994,2,3,193500
14175,5,1956,1,3,168000
11600,4,1922,1,2,137500
8633,6,2005,2,3,173500
6629,6,1925,2,3,103600
11250,6,1977,1,3,165000
14442,6,1957,2,3,257500
9200,6,1965,1,3,140000
2289,6,1978,2,3,148500
9600,4,1900,2,4,87000
9022,5,1924,1,2,109500
11844,8,2008,2,3,372500
9945,5,1961,1,3,128500
8012,6,1980,2,2,143000
4500,5,1932,1,3,159434
2887,6,1996,1,2,173000
11248,9,2002,2,3,285000
16770,7,1998,2,4,221000
5062,7,1984,2,3,207500
10207,7,2007,3,3,227875
5105,7,2004,2,2,148800
8089,8,2007,2,2,392000
7577,6,2005,2,2,194700
4426,6,2004,1,1,141000
21535,10,1994,3,4,755000
26178,7,1989,2,4,335000
5400,5,1921,1,2,108480
6120,5,1936,1,3,141500
13811,6,1987,2,2,176000
6000,5,1921,1,2,89000
6420,5,1952,1,2,123500
8450,5,1965,1,3,138500
4282,7,2004,2,2,196000
14331,8,2002,2,3,312500
9600,7,1969,1,3,140000
12438,8,2006,2,4,361919
7630,5,1900,2,4,140000
8400,7,2004,2,3,213000
5600,4,1930,2,3,55000
115149,7,1971,2,2,302000
6240,8,2006,2,2,254000
9018,7,2007,2,3,179540
7162,5,1966,1,3,109900
4130,3,1935,1,2,52000
8712,4,1900,1,2,102776
4671,8,1988,2,2,189000
9873,4,1970,1,3,129000
13517,6,1976,2,3,130500
10140,6,1974,2,3,165000
10800,7,1890,1,3,159500
10000,5,1973,1,3,157000
10542,7,1993,2,3,341000
9920,5,1969,1,3,128500
6563,8,1985,2,2,275000
4426,6,2004,1,1,143000
8120,4,1970,1,3,124500
8172,4,1954,2,4,135000
13286,9,2007,2,3,320000
6960,4,1970,1,3,120500
21695,6,1988,2,3,222000
7314,7,2007,2,2,194500
11475,5,1958,2,4,110000
6240,4,1925,1,2,103000
5389,8,1995,2,2,236500
9590,7,2003,2,3,187500
11404,7,1998,2,3,222500
10000,5,1961,1,3,131400
8978,5,1968,1,3,108000
10800,7,1914,1,2,163000
8544,3,1950,2,2,93500
10463,8,2005,2,3,239900
10800,5,1987,3,3,179000
9313,7,2004,2,3,190000
9600,5,1910,2,2,132000
6768,6,1961,1,3,142000
8450,7,2000,2,3,179000
12886,5,1963,2,3,175000
5395,8,1993,2,2,180000
8963,8,1976,3,4,299800
8795,7,2000,2,4,236000
11700,7,1880,1,4,265979
10593,7,1996,2,3,260400
8405,4,1945,2,4,98000
8800,4,1910,1,3,96500
7750,7,2003,2,3,162000
9236,6,1997,2,3,217000
10240,8,2005,2,3,275500
7930,6,1969,1,3,156000
3230,6,1999,2,3,172500
10769,8,2007,2,3,212000
11616,6,1978,2,3,158900
2280,7,1999,2,3,179400
12257,8,1995,2,4,290000
9100,6,1959,1,2,127500
6911,5,1924,1,2,100000
8640,7,2009,2,3,215200
9430,8,1999,2,3,337000
9549,8,1995,1,2,270000
14587,9,2008,2,2,264132
10421,7,1988,2,3,196500
12508,6,1940,2,4,160000
9100,7,2004,2,3,216837
53504,8,2003,3,4,538000
7252,5,1982,1,2,134900
8877,4,1951,1,2,102000
7819,6,1976,1,3,107000
10150,5,1958,1,2,114500
14226,8,2006,2,3,395000
4500,6,1998,2,2,162000
11210,7,2005,2,3,221500
13350,5,1974,1,3,142500
8400,5,1977,2,4,144000
10530,6,1977,1,2,135000
7875,7,1995,2,3,176000
7153,6,1992,2,3,175900
16285,7,2001,2,3,187100
9101,5,1978,1,1,165500
6300,6,1914,2,3,128000
9790,6,1967,2,3,161500
10800,5,1915,2,4,139000
10142,7,2004,2,4,233000
6000,4,1954,1,2,107900
12205,6,1966,2,5,187500
3182,7,2005,2,2,160200
11333,6,1976,1,3,146800
9920,7,1996,2,3,269790
9158,8,2007,2,3,225000
10832,7,1994,2,3,194500
8400,6,1980,2,3,171000
8197,6,1977,1,3,143500
7677,5,1953,1,2,110000
13518,9,2008,3,4,485000
7200,5,1937,1,3,175000
12798,6,1997,2,4,200000
4800,4,1916,1,2,109900
8199,7,2005,2,3,189000
13891,9,2008,3,4,582933
9000,5,1954,1,2,118000
12274,7,2008,2,3,227680
9750,5,1967,2,3,135500
21384,5,1923,1,3,223500
13400,5,1966,1,3,159950
8100,5,1898,2,2,106000
10140,6,1974,1,3,181000
4438,6,2004,1,1,144500
8712,5,1952,1,2,55993
9750,6,1958,1,4,157900
8248,5,1918,1,3,116000
12137,7,1998,2,3,224900
11425,5,1954,1,2,137000
13265,8,2002,2,3,271000
8816,6,1971,1,3,155000
6371,7,2009,2,2,224000
7226,7,2003,2,3,183000
6000,4,1953,1,2,93000
12394,7,2003,2,3,225000
9900,6,1940,2,3,139500
11216,8,2006,2,3,232600
14803,10,2007,2,2,385000
6130,5,1924,1,2,109500
8529,7,2001,2,3,189000
28698,5,1967,2,3,185000
2544,7,2005,2,2,147400
11900,6,1957,1,3,166000
3180,7,2005,2,2,151000
9548,7,2003,2,3,237000
10004,6,1964,1,3,167000
7875,5,1961,1,3,139950
9600,4,1950,2,2,128000
8100,5,1948,1,2,153500
1680,6,1973,1,2,100000
9525,5,1995,1,3,144000
11767,5,1946,1,3,130500
12155,6,1925,2,4,140000
10440,5,1904,2,3,157500
9020,6,1966,1,3,174900
8000,5,1961,2,6,141000
12665,5,1915,1,4,153900
16647,5,1975,2,3,171000
9317,7,1993,2,3,213000
15523,5,1972,1,3,133500
45600,6,1908,3,5,240000
9600,6,1976,2,3,187000
4435,6,2003,1,1,131500
3196,8,2003,2,2,215000
7128,7,1941,2,4,164000
12095,6,1964,1,3,158000
17920,5,1955,1,3,170000
6897,5,1962,1,3,127000
10970,6,1978,1,3,147000
8125,6,1994,2,3,174000
10400,7,1976,2,3,152000
11029,6,1968,2,4,250000
7642,7,1918,1,3,189950
11625,5,1965,1,3,131500
9672,6,1984,2,3,152000
7931,5,1959,1,3,132500
8640,7,2007,2,3,250580
8750,5,1970,1,3,148500
10656,8,2006,2,3,248900
6970,4,1961,1,3,129000
14762,5,1948,2,2,169000
9938,7,1993,2,3,236000
6600,5,1962,1,2,109500
8750,6,1998,2,3,200500
8892,5,1953,1,3,116000
12144,5,1949,1,3,133000
5720,5,1941,1,3,66500
9000,8,2007,2,4,303477
25286,4,1963,1,3,132250
8834,9,2004,2,4,350000
11782,5,1961,1,3,148000
7000,5,1978,1,3,136500
7024,5,2005,1,2,157000
13758,7,1990,2,3,187500
9636,6,1992,2,3,178000
6204,4,1912,1,5,118500
7150,5,1967,1,3,100000
5119,9,1999,2,2,328900
8393,5,1959,2,4,145000
16466,5,1955,1,3,135500
15865,8,1970,2,4,268000
12160,6,1953,1,2,149500
8064,5,1949,1,3,122900
11184,6,1978,2,3,172500
8414,6,1963,1,3,154500
13284,5,1954,1,3,165000
7018,5,1979,2,4,118858
7056,6,1963,1,4,140000
8765,4,1936,1,2,106500
7018,5,1979,2,6,142953
12919,9,2009,2,2,611657
6993,5,1961,1,3,135000
7340,4,1971,1,2,110000
8712,5,1957,1,2,153000
7875,7,2003,2,3,180000
14859,7,2006,2,3,240000
6173,5,1967,1,3,125500
9920,5,1954,1,3,128000
13501,8,2006,2,3,255000
11500,7,1936,1,3,250000
8885,5,1983,1,2,131000
12589,6,2005,2,3,174000
11600,5,1960,2,5,154300
9286,5,1977,1,3,143500
6120,5,1925,1,3,88000
6270,5,1949,2,4,145000
3000,6,2009,2,2,173733
2001,4,1970,1,3,75000
9000,2,1949,0,1,35311
17140,4,1956,1,3,135000
13125,7,1991,2,4,238000
11029,6,1958,1,3,176500
8462,6,1994,2,3,201000
8777,5,1900,2,4,145900
10237,6,2005,2,3,169990
8012,6,1993,2,2,193000
10240,6,1980,2,3,207500
15611,5,1977,2,3,175000
11999,8,2003,2,4,285000
9900,7,1968,2,4,176000
